bound,length,time(ms),swaps,jumps,partsSorted?
1000.0, 10082.0, 1.153699, 0.0, 332348.0, sorted
1000.0, 30246.0, 4.903101, 0.0, 1148147.0, sorted
1000.0, 50410.0, 6.997, 0.0, 2014324.0, sorted
1000.0, 70574.0, 10.055, 0.0, 2890609.0, sorted
1000.0, 90738.0, 13.184599, 0.0, 3807205.0, sorted
1000.0, 110902.0, 16.6053, 0.0, 4764109.0, sorted
1000.0, 332706.0, 59.3945, 0.0, 1.5955665E7, sorted
1000.0, 554510.0, 107.974001, 0.0, 2.825621E7, sorted
1000.0, 776314.0, 149.2407, 0.0, 4.0334959E7, sorted
1000.0, 998118.0, 195.473799, 0.0, 5.2857318E7, sorted
100000.0, 10.0, 3.0E-4, 0.0, 36.0, sorted
100000.0, 30.0, 0.001, 0.0, 229.0, sorted
100000.0, 50.0, 0.0019, 0.0, 474.0, sorted
100000.0, 70.0, 0.0028, 0.0, 731.0, sorted
100000.0, 90.0, 0.0039, 0.0, 1026.0, sorted
100000.0, 110.0, 0.0049, 0.0, 1353.0, sorted
100000.0, 330.0, 0.019701, 0.0, 5651.0, sorted
100000.0, 550.0, 0.0365, 0.0, 10489.0, sorted
100000.0, 770.0, 0.0561, 0.0, 16199.0, sorted
100000.0, 990.0, 0.0754, 0.0, 21796.0, sorted
100000.0, 1210.0, 0.0964, 0.0, 27851.0, sorted
100000.0, 3630.0, 0.355099, 0.0, 101565.0, sorted
100000.0, 6050.0, 0.6324, 0.0, 181326.0, sorted
100000.0, 8066.0, 0.898701, 0.0, 257844.0, sorted
100000.0, 10082.0, 1.2376, 0.0, 332348.0, sorted
100000.0, 30246.0, 4.0008, 0.0, 1148147.0, sorted
100000.0, 50410.0, 6.993199, 0.0, 2014324.0, sorted
100000.0, 70574.0, 10.378599, 0.0, 2890609.0, sorted
100000.0, 90738.0, 13.4965, 0.0, 3807205.0, sorted
